entry_type,pnl_pts,pnl_cash,bars_held,mfe,mae
CONFIRMED_BREAKOUT,-5.0,-1000.0,2,0.0,-16.0
EARLY_BREAKOUT,-3.9,-780.0,10,6.0,-16.0
EARLY_BREAKOUT,-2.6999999999999997,-540.0,24,16.0,-9.0
EARLY_BREAKOUT,-1.5,-300.0,15,5.0,-8.0
EARLY_BREAKOUT,10.2,2039.9999999999998,9,39.0,-5.0
CONFIRMED_BREAKOUT,-239.0,-47800.0,27,16.0,-241.0
CONFIRMED_BREAKOUT,-7.0,-1400.0,16,7.0,-8.0
CONFIRMED_BREAKOUT,-23.0,-4600.0,65,19.0,-24.0
EARLY_BREAKOUT,-0.8999999999999999,-179.99999999999997,13,3.0,-4.0
CONFIRMED_BREAKOUT,13.0,2600.0,11,15.0,-13.0
EARLY_BREAKOUT,-3.9,-780.0,23,7.0,-14.0
CONFIRMED_BREAKOUT,-7.0,-1400.0,4,4.0,-10.0
CONFIRMED_BREAKOUT,38.0,7600.0,17,40.0,-12.0
EARLY_BREAKOUT,-4.8,-960.0,18,8.0,-17.0
EARLY_BREAKOUT,-3.9,-780.0,30,15.0,-14.0
EARLY_BREAKOUT,1.5,300.0,4,5.0,-5.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,13,7.0,-11.0
CONFIRMED_BREAKOUT,10.0,2000.0,10,10.0,-7.0
EARLY_BREAKOUT,3.0,600.0,29,11.0,-8.0
EARLY_BREAKOUT,2.6999999999999997,540.0,11,9.0,-5.0
EARLY_BREAKOUT,-1.2,-240.0,5,3.0,-5.0
CONFIRMED_BREAKOUT,21.0,4200.0,3,23.0,-10.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,11,9.0,-6.0
EARLY_BREAKOUT,4.8,960.0,9,16.0,-6.0
CONFIRMED_BREAKOUT,-10.0,-2000.0,4,0.0,-11.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,17,8.0,-12.0
EARLY_BREAKOUT,4.2,840.0,7,19.0,-7.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,5,7.0,-6.0
CONFIRMED_BREAKOUT,-7.0,-1400.0,8,4.0,-20.0
EARLY_BREAKOUT,20.4,4079.9999999999995,5,73.0,-4.0
CONFIRMED_BREAKOUT,33.0,6600.0,7,38.0,-14.0
CONFIRMED_BREAKOUT,-29.0,-5800.0,23,21.0,-45.0
EARLY_BREAKOUT,2.6999999999999997,540.0,32,9.0,-5.0
EARLY_BREAKOUT,-1.2,-240.0,10,3.0,-7.0
EARLY_BREAKOUT,-3.9,-780.0,11,5.0,-14.0
EARLY_BREAKOUT,-6.3,-1260.0,2,1.0,-21.0
EARLY_BREAKOUT,-2.6999999999999997,-540.0,2,2.0,-10.0
EARLY_BREAKOUT,-2.6999999999999997,-540.0,2,2.0,-11.0
